policy_mode,use_hysteresis,runs,transitions_avg,fault_events_avg,nominal_pct_avg,throttle_pct_avg,safe_pct_avg,recover_pct_avg,flapping_index_avg,transition_reduction_vs_no_hyst_pct,experiment
risk_scored,False,120,25.316666666666666,5.525,61.77777777777778,34.50694444444444,0.6284722222222222,3.086805555555556,4.1820740139490145,0.0,exp_minor
risk_scored,True,120,17.691666666666666,5.525,59.552083333333336,34.989583333333336,2.4583333333333335,3.0,2.891740921115921,30.11849901250823,exp_minor
rule_based,False,120,33.55833333333333,5.525,60.802083333333336,28.305555555555554,2.5520833333333335,8.340277777777779,5.62970658970659,0.0,exp_minor
rule_based,True,120,23.366666666666667,5.525,58.36111111111111,27.98611111111111,6.701388888888888,6.951388888888888,3.900517376142376,30.370002483238135,exp_minor
risk_scored,False,120,26.625,5.525,61.510416666666664,33.12152777777778,0.9166666666666666,4.451388888888889,4.418643278018278,0.0,exp_critical
risk_scored,True,120,18.958333333333332,5.525,58.51388888888889,33.59722222222222,3.545138888888889,4.34375,3.1212731481481484,28.79499217527387,exp_critical
rule_based,False,120,34.11666666666667,5.525,60.74305555555556,27.864583333333332,2.8402777777777777,8.552083333333334,5.728924062049062,0.0,exp_critical
rule_based,True,120,23.483333333333334,5.525,58.4375,27.60763888888889,6.878472222222222,7.076388888888888,3.9185696248196247,31.16756228627259,exp_critical
risk_scored,False,120,35.375,11.666666666666666,57.97569444444444,34.69097222222222,1.2708333333333333,6.0625,2.911589621105875,0.0,exp_stress_none
risk_scored,True,120,24.841666666666665,11.666666666666666,53.3125,35.97569444444444,4.871527777777778,5.840277777777778,2.0440611273186735,29.776207302709075,exp_stress_none
rule_based,False,120,44.55,11.666666666666666,56.875,27.61111111111111,3.548611111111111,11.965277777777777,3.693879063080882,0.0,exp_stress_none
rule_based,True,120,30.816666666666666,11.666666666666666,51.82986111111111,28.239583333333332,9.777777777777777,10.152777777777777,2.5608730977055276,30.826786382341933,exp_stress_none
