seed,policy_mode,use_hysteresis,steps,fault_events,transitions,transitions_per_hour,nominal_pct,throttle_pct,safe_pct,recover_pct,safe_segments,safe_mean_duration_steps,power_min,power_max,temp_min,temp_max,flapping_index,experiment
1,rule_based,False,240.0,9.0,34.0,8.5,55.0,27.916666666666668,3.75,13.333333333333334,8.0,1.125,52.52661190431725,141.2943974860899,15.787166530873069,28.350645962435127,3.4,exp_minor
2,rule_based,False,240.0,9.0,42.0,10.5,58.333333333333336,25.0,3.3333333333333335,13.333333333333334,8.0,1.0,55.670118166480634,145.1766620215058,16.618088534638435,27.129939879244713,4.2,exp_minor
3,rule_based,False,240.0,4.0,26.0,6.5,59.583333333333336,27.083333333333332,4.166666666666667,9.166666666666666,5.0,2.0,56.67023522876552,140.77914225932903,16.516780189612714,28.21344543881139,5.2,exp_minor
4,rule_based,False,240.0,3.0,27.0,6.75,64.16666666666667,26.666666666666668,1.6666666666666667,7.5,4.0,1.0,56.16784018976966,143.2042161150961,16.122391913681007,27.825607085052454,6.75,exp_minor
5,rule_based,False,240.0,2.0,27.0,6.75,60.833333333333336,29.166666666666668,2.0833333333333335,7.916666666666667,5.0,1.0,57.893736596283574,142.21701455528125,16.11697406560402,28.092804428254325,9.0,exp_minor
6,rule_based,False,240.0,7.0,32.0,8.0,62.916666666666664,29.583333333333332,1.25,6.25,3.0,1.0,59.47410644823458,142.64803411174472,15.871853040559827,28.842482249637882,4.0,exp_minor
7,rule_based,False,240.0,5.0,31.0,7.75,59.583333333333336,32.5,1.6666666666666667,6.25,3.0,1.3333333333333333,55.023998910164266,141.77309048546255,15.508083889129797,27.812592531684732,5.166666666666667,exp_minor
8,rule_based,False,240.0,10.0,37.0,9.25,53.75,34.583333333333336,2.0833333333333335,9.583333333333334,5.0,1.0,58.264184831083966,143.00408578258705,16.364784354039426,28.521934900354786,3.3636363636363638,exp_minor
9,rule_based,False,240.0,3.0,38.0,9.5,63.333333333333336,22.083333333333332,3.75,10.833333333333334,8.0,1.125,55.09631652496962,142.46943064417863,15.189326816751066,28.773204522822052,9.5,exp_minor
10,rule_based,False,240.0,6.0,42.0,10.5,56.666666666666664,28.75,3.3333333333333335,11.25,6.0,1.3333333333333333,55.11240687505945,141.6225915421499,15.633987952996918,27.69723752574078,6.0,exp_minor
11,rule_based,False,240.0,5.0,27.0,6.75,62.5,29.166666666666668,2.5,5.833333333333333,5.0,1.2,57.33728328780862,143.43694492392981,15.731426134452565,27.806965230366462,4.5,exp_minor
12,rule_based,False,240.0,3.0,26.0,6.5,60.416666666666664,30.416666666666668,2.0833333333333335,7.083333333333333,4.0,1.25,56.860838057527374,142.35198846476698,16.417838141779,27.11744607424108,6.5,exp_minor
13,rule_based,False,240.0,7.0,39.0,9.75,60.416666666666664,22.083333333333332,4.166666666666667,13.333333333333334,7.0,1.4285714285714286,53.74809262921059,146.07918446508958,14.549775792870491,27.256226878673942,4.875,exp_minor
